"","id","hand","year","month","day","hour","minute","seconds","blocking","block","trial","iti","rt","response_time","too_soon","too_late","xfix","yfix","xtarget","ytarget"
"49",1,2,2017,11,26,10,58,23.401,2,4,9,1.6878,0.3502,1.0973,0,0,1795,544,655,525
"50",1,2,2017,11,26,10,58,23.401,2,4,10,1.3592,0.44276,1.278,0,0,1788,527,649,540
"51",1,2,2017,11,26,10,58,23.401,2,4,11,1.7363,0.54688,1.4262,0,0,1806,538,654,534
"52",1,2,2017,11,26,10,58,23.401,2,4,12,1.3947,0.38229,1.1165,0,0,1790,542,659,529
"53",1,2,2017,11,26,10,58,23.401,2,4,13,1.6834,0.41721,1.1494,0,0,1802,523,653,530
"54",1,2,2017,11,26,10,58,23.401,2,4,14,1.704,0.43586,1.09,0,0,1815,549,646,529
"55",1,2,2017,11,26,10,58,23.401,2,4,15,1.4423,0.49982,1.2542,0,0,1784,530,653,531
"56",1,2,2017,11,26,10,58,23.401,2,4,16,1.0196,0.44941,1.1321,0,0,1780,540,652,530
"57",1,2,2017,11,26,10,58,23.401,2,4,17,1.3309,0.47835,1.0958,0,0,1783,532,649,534
"58",1,2,2017,11,26,10,58,23.401,2,4,18,1.4243,0.46881,1.1361,0,0,1800,523,660,542
"59",1,2,2017,11,26,10,58,23.401,2,4,19,1.2703,0.42959,1.1481,0,0,1784,526,672,532
"60",1,2,2017,11,26,10,58,23.401,2,4,20,1.1971,0.33795,0.98377,0,0,1794,523,655,531
"61",2,2,2017,11,18,12,52,35.925,1,1,1,1.6476,NA,NA,0,1,1803,548,NA,NA
"62",2,2,2017,11,18,12,52,35.925,1,1,2,1.679,0.80508,1.8146,0,0,1802,543,656,524
"63",2,2,2017,11,18,12,52,35.925,1,1,3,1.6358,0.52883,1.6091,0,0,1810,540,661,538
"64",2,2,2017,11,18,12,52,35.925,1,1,4,1.9452,NA,NA,1,0,1801,547,NA,NA
"65",2,2,2017,11,18,12,52,35.925,1,1,5,1.2089,0.6162,1.3926,0,0,1798,544,659,516
"66",2,2,2017,11,18,12,52,35.925,1,1,6,1.7093,0.567,1.8592,0,0,1809,545,657,523
"67",2,2,2017,11,18,12,52,35.925,1,1,7,1.2362,0.35392,1.3998,0,0,1811,533,658,524
"68",2,2,2017,11,18,12,52,35.925,1,1,8,1.1194,NA,NA,1,0,1802,542,NA,NA
"69",2,2,2017,11,18,12,52,35.925,1,1,9,1.6073,0.7226,2.2327,0,0,1798,543,663,532
"70",2,2,2017,11,18,12,52,35.925,1,1,10,1.4501,0.63154,1.4957,0,0,1807,541,653,533
"71",2,2,2017,11,18,12,52,35.925,1,2,1,1.3477,0.52742,1.4122,0,0,1793,546,659,536
"72",2,2,2017,11,18,12,52,35.925,1,2,2,1.15,0.60228,1.4815,0,0,1808,539,674,516
"73",2,2,2017,11,18,12,52,35.925,1,2,3,1.5861,0.54961,1.2185,0,0,1787,534,678,505
"74",2,2,2017,11,18,12,52,35.925,1,2,4,1.2621,0.45364,1.0926,0,0,1817,544,655,516
"75",2,2,2017,11,18,12,52,35.925,1,2,5,1.0445,0.54676,1.3527,0,0,1807,538,642,518
"76",2,2,2017,11,18,12,52,35.925,1,2,6,1.7549,0.38835,1.2296,0,0,1812,560,681,536
"77",2,2,2017,11,18,12,52,35.925,1,2,7,1.2428,0.30045,1.3467,0,0,1781,540,672,523
"78",2,2,2017,11,18,12,52,35.925,1,2,8,1.4424,0.44777,1.544,0,0,1816,540,658,520
"79",2,2,2017,11,18,12,52,35.925,1,2,9,1.6878,0.46609,1.5624,0,0,1810,553,674,523
"80",2,2,2017,11,18,12,52,35.925,1,2,10,1.3592,0.34325,1.1707,0,0,1820,539,673,530
"81",2,2,2017,11,18,12,52,35.925,1,2,11,1.7363,0.3237,2.256,0,0,1797,538,676,541
"82",2,2,2017,11,18,12,52,35.925,1,2,12,1.3947,0.96706,1.7885,0,0,1800,547,661,526
"83",2,2,2017,11,18,12,52,35.925,1,2,13,1.6834,0.49826,1.333,0,0,1804,549,661,536
"84",2,2,2017,11,18,12,52,35.925,1,2,14,1.704,0.72858,1.5278,0,0,1795,551,668,535
"85",2,2,2017,11,18,12,52,35.925,1,2,15,1.4423,0.4581,1.2355,0,0,1802,534,675,523
"86",2,2,2017,11,18,12,52,35.925,1,2,16,1.0196,0.49428,1.4248,0,0,1819,550,655,523
"87",2,2,2017,11,18,12,52,35.925,1,2,17,1.3309,0.36042,1.0937,0,0,1780,541,664,540
"88",2,2,2017,11,18,12,52,35.925,1,2,18,1.4243,0.37174,1.404,0,0,1796,540,674,525
"89",2,2,2017,11,18,12,52,35.925,1,2,19,1.2703,0.43972,1.1211,0,0,1819,546,675,525
"90",2,2,2017,11,18,12,52,35.925,1,2,20,1.1971,0.56734,2.0263,0,0,1794,529,660,526
"91",2,2,2017,11,18,12,52,35.925,1,3,1,1.8507,0.41781,1.2311,0,0,1802,540,680,504
"92",2,2,2017,11,18,12,52,35.925,1,3,2,1.5606,2.0343,2.6593,0,0,1814,551,717,536
"93",2,2,2017,11,18,12,52,35.925,1,3,3,1.9296,0.45426,1.1863,0,0,1817,543,710,517
"94",2,2,2017,11,18,12,52,35.925,1,3,4,1.6967,0.43547,1.2395,0,0,1806,543,668,523
"95",2,2,2017,11,18,12,52,35.925,1,3,5,1.5828,0.57116,1.0004,0,0,1799,547,671,526
"96",2,2,2017,11,18,12,52,35.925,1,3,6,1.8154,0.42305,0.93129,0,0,1807,550,669,530
"97",2,2,2017,11,18,12,52,35.925,1,3,7,1.879,0.46552,0.94355,0,0,1809,553,659,539
"98",2,2,2017,11,18,12,52,35.925,1,3,8,1.9889,0.38342,0.74556,0,0,1810,533,717,518
"99",2,2,2017,11,18,12,52,35.925,1,3,9,1.0005,1.3313,1.6935,0,0,1816,541,765,513
"100",2,2,2017,11,18,12,52,35.925,1,3,10,1.8654,1.1063,2.3916,0,0,1818,538,685,493
"101",2,2,2017,11,18,12,52,35.925,1,4,1,1.1239,0.78279,1.2478,0,0,1803,548,631,471
"102",2,2,2017,11,18,12,52,35.925,1,4,2,1.4904,1.2035,2.0668,0,0,1819,532,682,536
"103",2,2,2017,11,18,12,52,35.925,1,4,3,1.853,1.2061,2.281,0,0,1811,550,703,525
